45,Business mathematics,510,"Zameeruddin, Quazi",9-Aug-03
46,Business mathematics,510,"Zameeruddin, Quazi",2-Sep-03
47,Insurance management,658.153,"Ganguly, Anand",9-Aug-03
48,Principles of risk management and insurance,658.155,"Rejda, George E.",9-Aug-03
49,Principles of insurance (IC01),368,"Majumdar, P. I.",9-Aug-03
50,Principles of insurance (IC01),368,"Majumdar, P. I.",22-Aug-03
51,Principles of insurance (IC01),368,"Majumdar, P. I.",22-Aug-03
52,Principles of insurance (IC01),368,"Majumdar, P. I.",22-Aug-03
53,Principles of insurance (IC01),368,"Majumdar, P. I.",22-Aug-03
54,Principles of insurance (IC01),368,"Majumdar, P. I.",22-Aug-03
55,Principles of insurance (IC01),368,"Majumdar, P. I.",22-Aug-03
56,Practice of life assurance (IC02),368.32,"Ramamurthy, N.; S. Balachandran",9-Aug-03
57,Practice of life assurance (IC02),368.32,"Ramamurthy, N.; S. Balachandran",22-Aug-03
58,Practice of life assurance (IC02),368.32,"Ramamurthy, N.; S. Balachandran",22-Aug-03
59,Practice of life assurance (IC02),368.32,"Ramamurthy, N.; S. Balachandran",22-Aug-03
60,Practice of life assurance (IC02),368.32,"Ramamurthy, N.; S. Balachandran",22-Aug-03
61,Practice of life assurance (IC02),368.32,"Ramamurthy, N.; S. Balachandran",22-Aug-03
62,Practice of life assurance (IC02),368.32,"Ramamurthy, N.; S. Balachandran",22-Aug-03
63,Practice of general insurance (IC11),368,"Pai, V. A.; M. G. Diwan",9-Aug-03
64,Practice of general insurance (IC11),368,"Pai, V. A.; M. G. Diwan",22-Aug-03
65,Practice of general insurance (IC11),368,"Pai, V. A.; M. G. Diwan",22-Aug-03
66,Practice of general insurance (IC11),368,"Pai, V. A.; M. G. Diwan",22-Aug-03
67,Practice of general insurance (IC11),368,"Pai, V. A.; M. G. Diwan",22-Aug-03
68,Practice of general insurance (IC11),368,"Pai, V. A.; M. G. Diwan",22-Aug-03
69,Practice of general insurance (IC11),368,"Pai, V. A.; M. G. Diwan",22-Aug-03
70,Insurance business environment(IC12),368,"Balasubramanian, T. S.",9-Aug-03
71,Insurance business environment(IC12),368,"Balasubramanian, T. S.",22-Aug-03
72,Insurance business environment(IC12),368,"Balasubramanian, T. S.",22-Aug-03
73,Insurance business environment(IC12),368,"Balasubramanian, T. S.",22-Aug-03
74,Insurance business environment(IC12),368,"Balasubramanian, T. S.",22-Aug-03
75,Insurance business environment(IC12),368,"Balasubramanian, T. S.",22-Aug-03
76,Insurance business environment(IC12),368,"Balasubramanian, T. S.",22-Aug-03
77,Motor insurance (IC-72),368,"Kolhatkar, V. B.; V. A. Pai",9-Aug-03
78,Motor insurance (IC-72),368,"Kolhatkar, V. B.; V. A. Pai",23-Aug-03
79,Motor insurance (IC-72),368,"Kolhatkar, V. B.; V. A. Pai",23-Aug-03
80,Motor insurance (IC-72),368,"Kolhatkar, V. B.; V. A. Pai",23-Aug-03
81,Motor insurance (IC-72) (Weed Out),368,"Kolhatkar, V. B.; V. A. Pai",23-Aug-03
82,Miscellaneous insurance (IC-78),368,Insurance Institute of India,9-Aug-03
83,Miscellaneous insurance (IC-78),368,Insurance Institute of India,22-Aug-03
84,Miscellaneous insurance (IC-78),368,Insurance Institute of India,22-Aug-03
85,Miscellaneous insurance (IC-78),368,Insurance Institute of India,22-Aug-03
86,Miscellaneous insurance (IC-78),368,Insurance Institute of India,22-Aug-03
87,"Personal accident, sickness and miscellaneous insurance (IC-73)",646.7,"Kaikini, A. N.; R. D. Mishra",9-Aug-03
88,"Personal accident, sickness and miscellaneous insurance (IC-73)",646.7,"Kaikini, A. N.; R. D. Mishra",22-Aug-03
89,"Personal accident, sickness and miscellaneous insurance (IC-73)",646.7,"Kaikini, A. N.; R. D. Mishra",22-Aug-03
90,"Personal accident, sickness and miscellaneous insurance (IC-73)",646.7,"Kaikini, A. N.; R. D. Mishra",22-Aug-03
91,"Personal accident, sickness and miscellaneous insurance (IC-73)",646.7,"Kaikini, A. N.; R. D. Mishra",22-Aug-03
92,Liability insurance (IC-74),368.5,"Krishnan, S. Gopal",9-Aug-03
93,Liability insurance (IC-74),368.5,"Krishnan, S. Gopal",23-Aug-03
94,Liability insurance (IC-74),368.5,"Krishnan, S. Gopal",23-Aug-03
95,Liability insurance (IC-74),368.5,"Krishnan, S. Gopal",23-Aug-03
96,Liability insurance (IC-74),368.5,"Krishnan, S. Gopal",23-Aug-03
97,Engineering insurance (IC-77),368,"Bose, A. K.; A. S. Chaubal",9-Aug-03
98,Engineering insurance (IC-77),368,"Bose, A. K.; A. S. Chaubal",22-Aug-03
99,Engineering insurance (IC-77),368,"Bose, A. K.; A. S. Chaubal",22-Aug-03
100,Engineering insurance (IC-77),368,"Bose, A. K.; A. S. Chaubal",22-Aug-03
101,Engineering insurance (IC-77),368,"Bose, A. K.; A. S. Chaubal",22-Aug-03
102,Life assurance underwriting (IC22),360.32,"Nerurkar, U. J. and N. V. Apte",22-Aug-03
103,Life assurance underwriting (IC22),360.32,"Nerurkar, U. J. and N. V. Apte",9-Aug-03
104,Life assurance underwriting (IC22),360.32,"Nerurkar, U. J. and N. V. Apte",22-Aug-03
105,Life assurance underwriting (IC22),360.32,"Nerurkar, U. J. and N. V. Apte",22-Aug-03
106,Life assurance underwriting (IC22),360.32,"Nerurkar, U. J. and N. V. Apte",22-Aug-03
107,Life assurance underwriting (IC22),360.32,"Nerurkar, U. J. and N. V. Apte",22-Aug-03
108,Life assurance underwriting (IC22),360.32,"Nerurkar, U. J. and N. V. Apte",22-Aug-03
109,Applications of life assurance (IC-23),368.32,"Shah, R. S. and M. G. Diwan",9-Aug-03
110,Applications of life assurance (IC-23),368.32,"Shah, R. S. and M. G. Diwan",22-Aug-03
111,Applications of life assurance (IC-23),368.32,"Shah, R. S. and M. G. Diwan",22-Aug-03
112,Applications of life assurance (IC-23),368.32,"Shah, R. S. and M. G. Diwan",22-Aug-03
113,Applications of life assurance (IC-23),368.32,"Shah, R. S. and M. G. Diwan",22-Aug-03
114,Applications of life assurance (IC-23),368.32,"Shah, R. S. and M. G. Diwan",22-Aug-03
115,Applications of life assurance (IC-23),368.32,"Shah, R. S. and M. G. Diwan",22-Aug-03
116,Life assurance management (IC25),368.32,"Subramanian, V. and Clifford Martin",9-Aug-03
117,Life assurance management (IC25),368.32,"Subramanian, V. and Clifford Martin",22-Aug-03
118,Life assurance management (IC25),368.32,"Subramanian, V. and Clifford Martin",22-Aug-03
119,Life assurance management (IC25),368.32,"Subramanian, V. and Clifford Martin",22-Aug-03
120,Life assurance management (IC25),368.32,"Subramanian, V. and Clifford Martin",22-Aug-03
121,Life assurance management (IC25),368.32,"Subramanian, V. and Clifford Martin",22-Aug-03
122,Life assurance management (IC25),368.32,"Subramanian, V. and Clifford Martin",22-Aug-03
123,Legal aspects of life assurance (IC24),346.086,"Madhyastha, P. S.",9-Aug-03
124,Legal aspects of life assurance (IC24),346.086,"Madhyastha, P. S.",22-Aug-03
125,Legal aspects of life assurance (IC24),346.086,"Madhyastha, P. S.",22-Aug-03
126,Legal aspects of life assurance (IC24),346.086,"Madhyastha, P. S.",22-Aug-03
127,Legal aspects of life assurance (IC24),346.086,"Madhyastha, P. S.",22-Aug-03
128,Legal aspects of life assurance (IC24),346.086,"Madhyastha, P. S.",22-Aug-03
129,Legal aspects of life assurance (IC24),346.086,"Madhyastha, P. S.",22-Aug-03
130,Information technology (IC-21),4,"Chandel,Vijay Singh",9-Aug-03
131,Life assurance finance (IC-26),368.32,"Gore, M. V. and S. V. Gadre",9-Aug-03
132,Life assurance finance (IC-26),368.32,"Gore, M. V. and S. V. Gadre",22-Aug-03
133,Life assurance finance (IC-26),368.32,"Gore, M. V. and S. V. Gadre",22-Aug-03
134,Life assurance finance (IC-26),368.32,"Gore, M. V. and S. V. Gadre",22-Aug-03
135,Life assurance finance (IC-26),368.32,"Gore, M. V. and S. V. Gadre",22-Aug-03
136,Life assurance finance (IC-26),368.32,"Gore, M. V. and S. V. Gadre",22-Aug-03
137,Life assurance finance (IC-26),368.32,"Gore, M. V. and S. V. Gadre",22-Aug-03
138,Fire hazards of specific industries     (IC-51),368.11,"Sarkar, A.",9-Aug-03
139,Fire hazards of specific industries (IC-51),368.11,"Sarkar, A.",23-Aug-03
140,Fire hazards of specific industries (IC-51),368.11,"Sarkar, A.",23-Aug-03
141,Fire hazards of specific industries (IC-51),368.11,"Sarkar, A.",23-Aug-03
142,General fire hazards (IC-52),368.11,"Sarkar, A.",9-Aug-03
143,General fire hazards (IC-52),368.11,"Sarkar, A.",23-Aug-03
144,General fire hazards (IC-52),368.11,"Sarkar, A.",23-Aug-03
145,General fire hazards (IC-52),368.11,"Sarkar, A.",23-Aug-03
146,Fire insurance underwriting (IC-54),368.11,"Venkataraman, Sushila",9-Aug-03
147,Fire insurance underwriting (IC-54),368.11,"Venkataraman, Sushila",23-Aug-03
148,Fire insurance underwriting (IC-54),368.11,"Venkataraman, Sushila",23-Aug-03
149,Fire insurance underwriting (IC-54),368.11,"Venkataraman, Sushila",23-Aug-03
150,Consequential loss insurance (IC-55),368,"Shah, Virendra Padamsey",9-Aug-03
151,Fire insurance claims (IC-56),368.11,Insurance Institute of India,9-Aug-03
152,Fire and consequential loss insurance (IC-57),368.11,Insurance Institute of India,9-Aug-03
153,Marine insurance (IC-67),368.2,Insurance Institute of India,9-Aug-03
154,Mathematical baris of life assurance (IC-81),368,"Dixit, S. P.and C. S. Modi",9-Aug-03
155,Statistics (IC-82),368,"Ramakrishnan, R.",9-Aug-03
156,Group insurance and retirement benefit schemes (IC-83),369,Insurance Institute of India,9-Aug-03
157,Reinsurance (IC-82),368.0122,"Ramachandran, K. and A. S. Chanbal",9-Aug-03
158,Marketing and public relations (IC-88),351.8255,"Balachandaran, S. and M. G. Diwan",9-Aug-03
159,Management accounting (IC-89),658.1511,"Murthy, C. K. S.and S. V. Gadre",9-Aug-03
160,Human resources management (IC-90),358.3112,"Martis, C. and M. G. Diwan",9-Aug-03
161,Data processing (IC-21/98),4,Insurance Institute of India,9-Aug-03
162,Modern economic theory,330,"Dewett, K. K. and Adarsh Chand",9-Aug-03
163,History of medieval India,954.02,"Mahajan, V. D.",9-Aug-03
164,History of modern India (from 1707 to present),943.1954,"Mahajan, V. D.",9-Aug-03
165,Ancient India,930.1954,"Mahajan, V. D.",9-Aug-03
166,High school english grammar and composition,421,"Wren, P. C.",9-Aug-03
167,Law of torts,346.03,"Pande, G. S.",9-Aug-03
168,Principles of mercantile law,332.742,"Bangia, R. K.",9-Aug-03
169,Law of torts,346.03,"Heuston, Salmond",9-Aug-03
170,Law of torts,346.03,"Heuston, Salmond",22-Aug-03
171,Winfield and jolowiez on tort,346.03,"Rogers, W. V. H.",9-Aug-03
172,Winfield and jolowiez on tort,346.03,"Rogers, W. V. H.",22-Aug-03
173,Legal language and legal writing,808.06,"Mishra, Srikant",9-Aug-03
174,Legal language and legal writing,808.06,"Mishra, Srikant",27-Aug-03
175,Learning the law,340.5,"Williams, Glanville",9-Aug-03
176,Learning the law,340.5,"Williams, Glanville",27-Aug-03
177,Indian economics: for law student,330.0954,"Myneni, S. R.",9-Aug-03
178,Indian economics: for law student,330.0954,"Myneni, S. R.",27-Aug-03
179,Principles of economics for law students,330.1,"Myneni, S. R.",9-Aug-03
180,Principles of economics for law students,330.1,"Myneni, S. R.",29-Aug-03
181,Legal research methodology,340.072,"Myneni, S. R.",2-Sep-03
182,Legal research methodology,340.072,"Myneni, S. R.",9-Aug-03
183,Specific relief act (Act No.47 of 1963),340,"Bangia, R. K.",9-Aug-03
184,Specific relief act (Act No.47 of 1963),340,"Bangia, R. K.",22-Aug-03
185,Negotiable instruments act,346.096,"Bangia, R. K.",9-Aug-03
186,Negotiable instruments act,346.096,"Bangia, R. K.",22-Aug-03
187,Sale of goods act,346.065,"Bangia, R. K.",9-Aug-03
188,Sale of goods act,346.065,"Bangia, R. K.",22-Aug-03
189,Law of torts,346.03,"Heuston, Salmond",9-Aug-03
190,Law of torts,346.03,"Heuston, Salmond",9-Aug-03
191,Indian contract act,346.02,"Bangia, R. K.",9-Aug-03
192,Indian contract act,346.02,"Bangia, R. K.",2-Sep-03
193,Law of torts,346.03,"Dhirajlal, Ratanlal",9-Aug-03
194,Law of torts,346.03,"Dhirajlal, Ratanlal",29-Aug-03
195,Negotgiable instruments act (Act 26 of 1881 as modified upto date),346.096,"Parthasarathy, M. S.",9-Aug-03
196,Negotgiable instruments act (Act 26 of 1881 as modified upto date),346.096,"Parthasarathy, M. S.",29-Aug-03
197,Pollock and Mulla: the sale of goods act,346.065,"Ramamurthy, K. (ed.)",9-Aug-03
198,Pollock and Mulla: the sale of goods act,346.065,"Ramamurthy, K. (ed.)",9-Aug-03
199,Pollock and Mulla on the indian partnership act,346.0682,"Sukumaran, K. (ed.)",9-Aug-03
200,Pollock and mulla on the indian partnership act,346.0682,"Sukumaran, K.",27-Aug-03
201,"Handbook on legal language, writing and general english",808.06,"Singh, J. S.",9-Aug-03
202,"Handbook on legal language, writing and general english",808.06,"Singh, J. S.",3-Sep-03
203,Social background of indian nationalism,809.0954,"Desai, A. R.",9-Aug-03
204,India struggle for independence 1857-1947,320.540954,"Chandra, Bipin",9-Aug-03
205,Understanding the problems of indian economy,330.0954,"Kapila, Uma",9-Aug-03
206,Political theory,320,"Arora, N. D., S. S. Awasthy",9-Aug-03
207,Introduction to political theory,320,"Vermani, R. C.",9-Aug-03
208,"Dutt on contract (The Indian Contract Act, 1872)",346.02,"Saharay, H. K.",9-Aug-03
209,"Dutt on contract (The Indian Contract Act, 1872)",346.02,"Saharay, H. K.",2-Sep-03
210,Law of torts,346.03,"Pande, G. S.",9-Aug-03
211,Law of torts,346.03,"Pande, G. S.",27-Aug-03
212,Indian contract and specific relief acts: ed. by Nilima Bhadbhade,346.02,"Pollock, Mulla",9-Aug-03
213,Indian contract and specific relief acts: ed. by Nilima Bhadbhade,346.02,"Pollock, Mulla",9-Aug-03
214,World trade organisation: Indian perspective,341.7543,"Bagchi, Jayanta",9-Aug-03
215,Guide to drafting with models,355.223,"Banerjee, A. K. and Awasthi, S. K.",9-Aug-03
216,Supreme court safeguards to educational institutions,371,"Swamy, N. M.",9-Aug-03
217,Muslim women and their rights,346.0134297,"Bhatnagar, J. P.",9-Aug-03
218,College law dictionary,340.03,"Singh, Dr. Avtar",9-Aug-03
219,Legal dictionary ( Eng.-Eng.-Hindi),340.03,"Pant, Prafulla C.",9-Aug-03
220,Introduction to jurisprudence,340,"Singh, Avtar",9-Aug-03
221,Supreme court on criminal law 1996-2001,345.01,"Tyagi, S. P.",9-Aug-03
222,Supreme court on criminal law 1996-2001,345.01,"Tyagi, S. P.",9-Aug-03
223,Law of dishonour of cheques: forgery and cheating,346.096,"Awasthi, S. K.",9-Aug-03
224,Civil procedure,347.05,"Takwani, C. K.",9-Aug-03
225,Law relating to legal aid and lok adalat,362.58,"Swaroop, R.",9-Aug-03
226,"Law relating to lok adalats (Legal Services autohorities Act, 1987)",362.58,"Narayana, P. S.",9-Aug-03
227,Supreme court and high court on the contract labour Act 1970,365.65,"Puri, S. D.",9-Aug-03
228,"30 Years digest on evidence, 1972-2002",347.06,"Khera, R. C.",9-Aug-03
229,Law of evidence,347.06,"Tyagi, S. P.",9-Aug-03
230,Law of evidence,347.06,"Tyagi, S. P.",9-Aug-03
231,"Human rights in India, with allied laws",323.954,"Singh, M. Iqbal",9-Aug-03
232,Law of consumer protection,343.071,"Reddy, G. B.",9-Aug-03
233,Public interest litigation,347.053,"Narayana, P. S.",9-Aug-03
234,Public interest litigation and our right,347.053,"Mishra, O. P.",9-Aug-03
235,Legal writing and drafting,808.06,"Rylance, Paul",9-Aug-03
236,Business communication today,658.45,"Bovee, Thrill and Schatzman",22-Aug-03
237,Business communication today,658.45,"Bovee, Thrill and Schatzman",22-Aug-03
238,Strategic management and business policy,658.4012,"Wheelen, Thomas L., Hunger, David J. & Rangarajan",9-Aug-03
239,Strategic management and business policy,658.4012,"Wheelen, Thomas L., Hunger, David J. & Rangarajan",21-Aug-03
240,Math for management: an introduction,510,"Raghavachari, M.",9-Aug-03
241,Math for management: an introduction,510,"Raghavachari, M.",3-Sep-03
242,Research methodology: methods and techniques,658.5,"Kothari, C. R.",21-Aug-03
243,Research methodology: methods and techniques,658.5,"Kothari, C. R.",21-Aug-03
244,Operations management for competitive advantage,658.56,"Chased, R. B.",9-Aug-03
245,Operations management for competitive advantage,658.56,"Chased, R. B.",3-Sep-03
246,Strategic management,658.4012,"Thompson, A. A.",9-Aug-03
247,Strategic management,658.4012,"Thompson, A. A.",22-Aug-03
248,Marketing management,658.8,"Kotler, Philip",9-Aug-03
249,Marketing management,658.8,"Kotler, Philip",3-Sep-03
250,Management information systems: managing information technology in the e-business enterprise,658.4,"O'Brien, James",9-Aug-03
251,Management information systems: managing information technology in the e-business enterprise,658.4,"O'Brien, James",22-Aug-03
252,Advanced accounts,657 A,"Shukla, M. C.",9-Aug-03
253,Advanced accounts,657 A,"Shukla, M. C.",22-Aug-03
254,Managerial economics: in a global economy,331.714,"Salvatore, Dominick",9-Aug-03
255,Managerial economics: in a global economy,331.714,"Salvatore, Dominick",29-Aug-03
256,Advanced accounts,657 A,"Shukla, M. C.",22-Aug-03
257,Advanced accounts,657 A,"Shukla, M. C.",22-Aug-03
258,Managing human resources personal management in Indian enterprises,658.3112,"Dwidedi, R. S.",9-Aug-03
259,Managing human resources personal management in Indian enterprises,658.3112,"Dwidedi, R. S.",29-Aug-03
260,Business communication,658.45,"Lesikar, R. V.",9-Aug-03
261,Business communication,658.45,"Lesikar, R. V.",22-Aug-03
262,Accounting for management,658.1511,"Bhattarcharya, S. K.",29-Aug-03
263,Accounting for management,658.1511,"Bhattarcharya, S. K.",29-Aug-03
264,Business environment,338.71,"Cherunilam, Francis",9-Aug-03
265,Business environment,338.71,"Cherunilam, Francis",2-Sep-03
266,An Introduction to accountancy,657.046,"Maheshwari, S. N. and S. K. Maheshwari",22-Aug-03
267,An Introduction to accountancy,657,"Maheshwari, S. N. and S. K. Maheshwari",22-Aug-03
268,Ethics in management: vedantic perspective,658.3,"Chakraborty, S. K.",9-Aug-03
269,Ethics in management: vedantic perspective,658.3,"Chakraborty, S. K.",22-Aug-03
270,Statistics: for business and economics,519.3,"Hooda, R. P.",22-Aug-03
271,Management: task responsibilities practices,658,"Drucker, Peter F.",9-Aug-03
272,Management: task responsibilities practices,658,"Drucker, Peter F.",22-Aug-03
273,Sales and distribution management,658.81,"Gupta, S. L.",9-Aug-03
274,Sales and distribution management,658.81,"Gupta, S. L.",29-Aug-03
275,Managerial economics,332.746,"Dean, Joel",27-Aug-03
276,Managerial economics,332.746,"Dean, Joel",27-Aug-03
277,Introduction to computer science,4,"Govindaraja, S.",22-Aug-03
278,Introduction to computer science,4,"Govindaraja, S.",22-Aug-03
279,Introduction to psychology,150,"Hilgard, Ernest R.",9-Aug-03
280,Introduction to psychology,150,"Hilgard, Ernest R.",27-Aug-03
281,Computer fundamentals (Weed Out),4,"Sinha, P. K.",22-Aug-03
282,Computer fundamentals,4,"Sinha, P. K.",22-Aug-03
283,Organisational behaviour: human behaviour,302.35,"Newstrom, John W.",3-Sep-03
284,Organisational behaviour: human behaviour,302.35,"Newstrom, John W.",3-Sep-03
285,Modern microeconomics,339,"Koutsoyiannis, A.",21-Aug-03
286,Modern microeconomics,339,"Koutsoyiannis, A.",21-Aug-03
287,Organisational behaviour,302.35,"Aswathapa, K.",22-Aug-03
288,Organisational behaviour,302.35,"Aswathapa, K.",22-Aug-03
289,Microeconomic theory,339,"Gould, Ferguson",27-Aug-03
290,Microeconomic theory,339,"Gould, Ferguson",27-Aug-03
291,Advanced economic theory,330,"Ahuja, H. L.",22-Aug-03
292,Advanced economic theory,330,"Ahuja, H. L.",22-Aug-03
293,Brand positioning: strategies for competitive advantage,658.827,"Sengupta, Subroto",29-Aug-03
294,Brand positioning: strategies for competitive advantage,658.827,"Sengupta, Subroto",29-Aug-03
295,Mathematics for economists: an elementary survey,510,"Yamane, Taro",9-Aug-03
296,Mathematics for economists: an elementary survey,510,"Yamane, Taro",22-Aug-03
297,Ancient India,930.1954,"Mahajan, V. D.",22-Aug-03
298,History of ancient India,930.1954,"Tripathi, Ramashankar",22-Aug-03
299,The Wonder that was India,80,"Basham, A. L.",9-Aug-03
300,The Wonder that was India,80,"Basham, A. L.",27-Aug-03
301,Mathematics and statistics for economics,330.5195,"Monga, G. S.",22-Aug-03
302,Mathematics and statistics for economics,330.5195,"Monga, G. S.",2-Jun-15
303,Essentials of management,658,"Koontz, Harold",29-Aug-03
304,Essentials of management,658,"Koontz, Harold",9-Aug-03
305,Marketing research: text and cases,658.8,"Boyd, Harper W. and  Ralph Westfall, S. F. Stasch",29-Aug-03
306,Marketing research: text and cases,658.8,"Boyd, Harper W. and  Ralph Westfall, S. F. Stasch",29-Aug-03
307,Financial accounting,657.48,"Tulsian, P. C.",22-Aug-03
308,Financial accounting,657.48,"Tulsian, P. C.",22-Aug-03
309,Advanced accounting,657.046,"Maheshwari, S. N.and S. K. Maheshwari",22-Aug-03
310,Advanced accounting,657 A,"Maheshwari, S. N.and S. K. Maheshwari",22-Aug-03
311,Advanced accounting,657 A,"Maheshwari, S. N.and S. K. Maheshwari",22-Aug-03
312,Advanced accounting,657 A,"Maheshwari, S. N.and S. K. Maheshwari",22-Aug-03
313,Introduction to computer: fundamentals of computer science,4,"Subramanian, N.",9-Aug-03
314,Introduction to computer: fundamentals of computer science,4,"Subramanian, N.",22-Aug-03
315,Specific relief act (Act No.47 of 1963),340,"Bangia, R. K.",22-Aug-03
316,Specific relief act (Act No.47 of 1963),340,"Bangia, R. K.",22-Aug-03
317,Sale of goods act,346.065,"Bangia, R. K.",22-Aug-03
318,Sale of goods act,346.065,"Bangia, R. K.",22-Aug-03
319,Indian contract act,346.02,"Bangia, R. K.",2-Sep-03
320,Indian contract act,346.02,"Bangia, R. K.",2-Sep-03
321,Law of torts,346.03,"Heuston, Salmond",22-Aug-03
322,Law of torts,346.03,"Heuston, Salmond",22-Aug-03
323,Law of torts,346.03,"Pande, G. S.",9-Aug-03
324,Law of torts,346.03,"Pande, G. S.",3-Sep-03
325,Law of torts,346.03,"Pande, G. S.",3-Sep-03
326,Introduction to law of torts,346.03,"Singh, Avtar",9-Aug-03
327,Introduction to law of torts,346.03,"Singh, Avtar",2-Sep-03
328,Introduction to law of torts,346.03,"Singh, Avtar",2-Sep-03
329,Introduction to law of torts,346.03,"Singh, Avtar",2-Sep-03
330,Law of torts,346.03,"Dhirajlal, Ratanlal",29-Aug-03
331,Law of torts,346.03,"Dhirajlal, Ratanlal",29-Aug-03
332,Constitution of India,342.020954,"Singh, M. P.",9-Aug-03
333,Salmond on jurisprudence,340,"Fitzgerald, P. J.",9-Aug-03
334,Introduction to jurisprudence,340,"Singh, Avtar",9-Aug-03
335,Lok Adalat in India,347.01,"Deshta, Sunil",9-Aug-03
336,Lok Adalat in India,347.01,"Deshta, Sunil",29-Aug-03
337,Indian economics: for law student,330.0954,"Myneni, S. R.",27-Aug-03
338,Indian economics: for law student,330.0954,"Myneni, S. R.",27-Aug-03
339,Principles of economics for law students,330.1,"Myneni, S. R.",29-Aug-03
340,Principles of economics for law students,330.1,"Myneni, S. R.",29-Aug-03
341,Legal language and legal writing,808.06,"Mishra, Srikant",27-Aug-03
342,Legal language and legal writing,808.06,"Mishra, Srikant",27-Aug-03
343,"Handbook on legal language, writing and general english",808.06,"Singh, J. S.",3-Sep-03
344,"Handbook on legal language, writing and general english",808.06,"Singh, J. S.",3-Sep-03
345,Negotiable instruments act,346.096,"Bangia, R. K.",22-Aug-03
346,Negotiable instruments act,346.096,"Bangia, R. K.",22-Aug-03
347,Pollock and Mulla on the Indian partnership act,346.0682,"Sukumaran, K.",27-Aug-03
348,Pollock and Mulla on the Indian partnership act,346.0682,"Sukumaran, K.",27-Aug-03
349,Law of torts,346.03,"Heuston, Salmond",22-Aug-03
350,Law of torts,346.03,"Heuston, Salmond",22-Aug-03
351,Negotiable instruments act,346.096,"Bangia, R. K.",9-Aug-03
352,Negotiable instruments act,346.096,"Bangia, R. K.",29-Aug-03
353,Learning the law,340.5,"Williams, Glanville",27-Aug-03
354,Learning the law,340.5,"Williams, Glanville",27-Aug-03
355,"Dutt on contract (The Indian Contract Act, 1872)",346.02,"Saharay, H. K.",2-Sep-03
356,"Dutt on contract (The Indian Contract Act, 1872)",346.02,"Saharay, H. K.",2-Sep-03
